"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"physicist",110362465,3,"noun.person",18,"n","physicist#1(physicist%1:18:00::)","a scientist trained in physics","","physicist",1,91,"domain category",106024587,"noun.cognition",9,"n","physics#1(physics%1:09:00::),natural philosophy#1(natural_philosophy%1:09:00::)","the science of matter and energy and their interactions","his favorite subject was physics","physics,natural philosophy"
"law of gravitation",105814604,,"noun.cognition",9,"n","Newton's law of gravitation#1(newton's_law_of_gravitation%1:09:00::),law of gravitation#1(law_of_gravitation%1:09:00::)","(physics) the law that states any two bodies attract each other with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them","","Newton's law of gravitation,law of gravitation",1,91,"domain category",106024587,"noun.cognition",9,"n","physics#1(physics%1:09:00::),natural philosophy#1(natural_philosophy%1:09:00::)","the science of matter and energy and their interactions","his favorite subject was physics","physics,natural philosophy"
"rheological",302992284,,"adj.pert",1,"a","rheological#1(rheological%3:01:00::),rheologic#1(rheologic%3:01:00::)","of or relating to rheology","","rheological,rheologic",1,91,"domain category",106024587,"noun.cognition",9,"n","physics#1(physics%1:09:00::),natural philosophy#1(natural_philosophy%1:09:00::)","the science of matter and energy and their interactions","his favorite subject was physics","physics,natural philosophy"
"critical",300655048,5,"adj.all",0,"a","critical#2(critical%3:00:04::)","at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction","a critical temperature of water is 100 degrees C--its boiling point at standard atmospheric pressure|critical mass|go critical","critical",2,91,"domain category",106024587,"noun.cognition",9,"n","physics#1(physics%1:09:00::),natural philosophy#1(natural_philosophy%1:09:00::)","the science of matter and energy and their interactions","his favorite subject was physics","physics,natural philosophy"
"outage",107351277,,"noun.event",11,"n","outage#2(outage%1:11:00::)","a temporary suspension of operation (as of computers)","there will be a network outage from 8 to 10 a.m.","outage",2,91,"domain category",103071599,"noun.artifact",6,"n","data processor#1(data_processor%1:06:00::),computer#1(computer%1:06:00::),information processing system#1(information_processing_system%1:06:00::),computing machine#1(computing_machine%1:06:00::),electronic computer#1(electronic_computer%1:06:00::),computing device#1(computing_device%1:06:00::)","a machine for performing calculations automatically","","data processor,computer,information processing system,computing machine,electronic computer,computing device"
"rigid",301030459,,"adj.all",0,"a","rigid#4(rigid%3:00:00::)","designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure","","rigid",4,91,"domain category",106030650,"noun.cognition",9,"n","astronautics#1(astronautics%1:09:00::),aeronautics#1(aeronautics%1:09:00::)","the theory and practice of navigation through air or space","","astronautics,aeronautics"
"dynamic balance",113941310,,"noun.state",26,"n","dynamic balance#1(dynamic_balance%1:26:00::)","(aeronautics) the state of equilibrium in which centrifugal forces due to a rotating mass (e.g., a propeller) do not produce force in the shaft and so vibration is reduced","","dynamic balance",1,91,"domain category",106030650,"noun.cognition",9,"n","astronautics#1(astronautics%1:09:00::),aeronautics#1(aeronautics%1:09:00::)","the theory and practice of navigation through air or space","","astronautics,aeronautics"
"judgement in personam",101192124,,"noun.act",4,"n","judgement in personam#1(judgement_in_personam%1:04:00::),personal judgment#1(personal_judgment%1:04:00::),personal judgement#1(personal_judgement%1:04:00::),judgment in personam#1(judgment_in_personam%1:04:00::)","a judgment rendered against an individual (or corporation) for the payment of money damages","","judgement in personam,personal judgment,personal judgement,judgment in personam",1,91,"domain category",107991057,"noun.group",14,"n","corporation#1(corporation%1:14:00::),corp#1(corp%1:14:00::)","a business firm whose articles of incorporation have been approved in some state","","corporation,corp"
"towing rope",104397610,,"noun.artifact",6,"n","towing line#1(towing_line%1:06:00::),towrope#1(towrope%1:06:00::),towline#1(towline%1:06:00::),towing rope#1(towing_rope%1:06:00::)","(nautical) a rope used in towing","","towing line,towrope,towline,towing rope",1,91,"domain category",100315317,"noun.act",4,"n","seafaring#1(seafaring%1:04:00::),sailing#1(sailing%1:04:01::),navigation#3(navigation%1:04:01::)","the work of a sailor","","seafaring,sailing,navigation"
"bluff out",201079324,,"verb.competition",33,"v","bluff out#1(bluff_out%2:33:00::),bluff#1(bluff%2:33:00::)","deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand","","bluff out,bluff",1,91,"domain category",100489258,"noun.act",4,"n","cards#1(cards%1:04:00::),card game#1(card_game%1:04:00::)","a game played with playing cards","","cards,card game"
